instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,total_hour
1.0,2011-01-01,1,0,1,0.0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,16.0
2.0,2011-01-01,1,0,1,1.0,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,40.0
3.0,2011-01-01,1,0,1,2.0,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,32.0
4.0,2011-01-01,1,0,1,3.0,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,13.0
5.0,2011-01-01,1,0,1,4.0,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,1.0
6.0,2011-01-01,1,0,1,5.0,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1.0
7.0,2011-01-01,1,0,1,6.0,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,2.0
8.0,2011-01-01,1,0,1,7.0,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,3.0
9.0,2011-01-01,1,0,1,8.0,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,8.0
10.0,2011-01-01,1,0,1,9.0,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,14.0
11.0,2011-01-01,1,0,1,10.0,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,36.0
12.0,2011-01-01,1,0,1,11.0,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,56.0
13.0,2011-01-01,1,0,1,12.0,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,84.0
14.0,2011-01-01,1,0,1,13.0,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,94.0
15.0,2011-01-01,1,0,1,14.0,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,106.0
16.0,2011-01-01,1,0,1,15.0,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,110.0
17.0,2011-01-01,1,0,1,16.0,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,93.0
18.0,2011-01-01,1,0,1,17.0,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,67.0
19.0,2011-01-01,1,0,1,18.0,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,35.0
20.0,2011-01-01,1,0,1,19.0,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,37.0
21.0,2011-01-01,1,0,1,20.0,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,36.0
22.0,2011-01-01,1,0,1,21.0,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,34.0
23.0,2011-01-01,1,0,1,22.0,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,28.0
24.0,2011-01-01,1,0,1,23.0,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,39.0
25.0,2011-01-02,1,0,1,0.0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,17.0
26.0,2011-01-02,1,0,1,1.0,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,17.0
27.0,2011-01-02,1,0,1,2.0,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,9.0
28.0,2011-01-02,1,0,1,3.0,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,6.0
29.0,2011-01-02,1,0,1,4.0,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,3.0
